"Título","Tipo de activo","Suministró los datos","Categoría","Descripción","Etapa de publicación","Municipio","Nombre entidad","Orden","Departamento","Frequencia actualización","Fecha de creación","Fecha de publicación","Fecha última actualización","CALIFICACIÓN FINAL CALIDAD","NIVEL SELLO EXCELENCIA"
"INVENTARIO, CONTROL Y SEGUIMIENTO DE VERTIMIENTOS EN EL MUNICIPIO DE CHIA 2019","dataset","Alcaldía Municipal  de Chia","Ambiente y Desarrollo Sostenible","VERTIMIENTOS","published","Chía","Alcaldía de Chía","Territorial","Cundinamarca","Semestral","2019 Apr 23 04:41:00 PM","2019 Apr 23 04:48:00 PM","2019 May 11 02:20:00 PM","7.46","0"
"Computadores Para Educar","dataset","Ministerio de Tecnologías de la Información y las Comunicaciones","Ciencia, Tecnología e Innovación","Computadores para Educar-CPE es el programa del Gobierno Nacional de mayor impacto social que genera equidad a través de las TIC, fomentando la calidad de la educación bajo un modelo sostenible","published","Bogotá D.C.","Ministerio de Tecnologías de la Información y las Comunicaciones","Nacional","Bogotá D.C.","Mensual","2017 Oct 09 05:54:00 PM","2020 Feb 27 03:08:00 PM","2023 Feb 24 05:19:00 PM","8.91","0"
"Índice de Información Clasificada y Reservada Contraloría General del Municipio de Manizales","dataset","Contraloria Manizales","Organismos de Control","Inventario de la información pública generada, obtenida, adquirida o controlada por la Contraloría General del Municipio de Manizales, que ha sido calificada como clasificada o reservada.","published","Manizales","Contraloría General del Municipio de Manizales","Territorial","Caldas","No aplica","2020 Sep 25 04:11:00 AM","2022 Oct 26 05:00:00 PM","2022 Oct 26 05:00:00 PM","8.44","1"
"MATRICULADOS CORTE OCTUBRE 2020 TUBARÁ - ATLÁNTICO","dataset","Educación","Educación","LISTADO DE MATRICULADOS CORTE OCTUBRE 2020 TUBARÁ - ATLÁNTICO","published","Tubará","Alcaldía de Tubará","Territorial","Atlántico","Anual","2021 May 08 04:27:00 PM","2021 May 08 07:04:00 PM","2021 May 08 07:04:00 PM","8.22","0"
"Estadísticas sector agropecuario ganado porcino","dataset","Gobernación de Sucre","Agricultura y Desarrollo Rural","Datos estadísticos del sector agropecuario (Eje de la economia sucreña) en ganado porcino producido el departamento de sucre.","published","Sincelejo","Gobernación de Sucre","Territorial","Sucre","Anual","2016 Oct 24 11:11:00 PM","2016 Nov 15 10:09:00 PM","2016 Nov 15 10:09:00 PM","8.09","0"
"Esquema de Publicación de Información","dataset","Notaría Única de Bojaya (Bellavista) - Chocó","Función pública","Es el instrumento del que disponen los sujetos obligados para informar, de forma ordenada, a la ciudadanía, interesados y usuarios, sobre la información publicada y que publicará, conforme  al principio de divulgación proactiva de la información previsto en el artículo 3° de la Ley 1712 de 2014, y sobre los medios a través de los cuales se puede acceder a la misma.
(Decreto 103 de 2015, art. 41).","published","Bojayá","Notaría única de Bojayá","Territorial","Chocó","No aplica","2024 Aug 09 10:19:00 PM","2024 Aug 09 10:23:00 PM","2024 Aug 09 10:23:00 PM","8.2","1"
"Número de empresas del sector TI que durante el periodo obtuvieron certificaciones de calidad, según tipo de certificación, 2008-2015","dataset","Observatorio Colombiano de Ciencia y Tecnología","Ciencia, Tecnología e Innovación","Número de empresas del sector TI (Tecnologías de la información) que durante el periodo obtuvieron certificaciones de calidad, según tipo de certificación,para el periodo 2008-2015","unpublished","Bogotá D.C.","Observatorio Colombiano de Ciencia y Tecnología","Nacional","Bogotá D.C.","Anual","2017 Mar 10 03:45:00 PM",,"2017 Mar 10 03:45:00 PM","7.48","0"
"Evaluación de tierras para la producción de pastos Brachiarias, Brachiaria híbrido y Brachiaria humidícola, en Providencia y Santa Catalina.","dataset","Unidad de Planificación Rural Agropecuaria - UPRA","Agricultura y Desarrollo Rural","El mapa es el producto resultante de la validación y aplicación de la metodología de evaluación de tierras con fines agropecuarios a escala 1:10.000 en las islas de Providencia y Santa Catalina. El proceso de evaluación de tierras es un instrumento de planificación para las áreas rurales que facilita la identificación de áreas geográficas con una combinación de características físicas, biológicas, humanas e institucionales aptas para un uso determinado, que pueden ser interpretadas en términos de objetivos para la gestión de los territorios. El mapa de aptitud, es una herramienta que permite identificar posibles núcleos de desarrollo, orientar políticas del sector agropecuario y de la planificación rural del departamento.

Aptitud
Áreas con potencial para el establecimiento y desarrollo del cultivo comercial de la producción de pastos Brachiarias (Brachiaria decumbens, Brachiaria brizantha, Brachiaria ruziziensis, Brachiaria hibrido (Mulato I, Mulato II), Brachiaria híbrido (Caimán), Brachiaria humidícola (Ex B. dyctioneura Llanero) para el mercado nacional y de exportación con fines comerciales, bajo un marco legal, normativo y técnico que las define y diferencia de otros usos posibles.

Categorías:
Aptitud Alta: Zonas con las mejores condiciones desde el punto de vista físico, socioecosistémico y socioeconómico.
Aptitud Media: Zonas con limitaciones moderadas de tipo físico, socioecosistémico y/o socioeconómico.
Aptitud Baja: Zonas con fuertes limitaciones de tipo físico, socioecosistémico y/o socioeconómico, las cuales podrían adecuarse con grandes inversiones y/o el desarrollo de nuevas tecnologías.
No apta: Zonas con restricciones físicas y socioecosistémicas que imposibilitan el desarrollo de la actividad.
Exclusión legal: 
Zonas en las cuales, por mandato legal, no se permite el desarrollo de la producción del cultivo de pastos Brachiarias (Brachiaria decumbens, Brachiaria brizantha, Brachiaria ruziziensis), Brachiaria hibrido (Mulato I, Mulato II), Brachiaria híbrido (Caimán), Brachiaria humidícola (Ex B. dyctioneura Llanero), con fines comerciales.","published","Bogotá D.C.","Unidad de Planificación de Tierras Rurales, Adecuación de Tierras y Usos Agropecuarios","Nacional","Bogotá D.C.","Trienio","2022 May 11 07:42:00 PM","2022 May 11 08:29:00 PM","2022 May 11 08:29:00 PM","9.37","1"
"Directorio de establecimentos de comercio registrados en la entidad","dataset","Alcaldía Municipal de Albania en La Guajira","Inclusión Social y Reconciliación","Inventario de los establecimientos de comercio que ejercen su actividad en el municipio de Albania.","published","Albania","Alcaldía de Albania","Territorial","La Guajira","Anual","2016 Jul 14 02:09:00 AM","2016 Jul 14 02:09:00 AM","2016 Jul 14 02:09:00 AM","7.21","0"
"Alirio Otalora","dataset","Ministerio de Salud","Salud y Protección Social","Datos cargue de noviembre","published","Bogotá D.C.","Ministerio de Salud y Protección Social","Nacional","Bogotá D.C.","Mensual","2021 Nov 17 07:29:00 PM","2021 Nov 17 07:40:00 PM","2021 Nov 17 08:07:00 PM","7.9","0"
"ACTIVOS DE INFORMACIÓN","dataset",,,,"published","Samacá","Alcaldía de Samacá","Territorial","Boyacá","Anual","2022 Nov 01 05:59:00 PM","2022 Nov 01 08:41:00 PM","2022 Nov 01 08:41:00 PM","7.64","0"
"EMPRESAS MATRÍCULA ACTIVA - OCTUBRE 2022","dataset","Cámara de Comercio Aburrá Sur","Comercio, Industria y Turismo","Conozca las empresas con matrícula activa a octube de 2022","published","Itagüí","Cámara de Comercio Aburrá Sur","Territorial","Antioquia","No aplica","2022 Aug 11 10:44:00 PM","2022 Nov 15 05:37:00 PM","2022 Nov 15 05:37:00 PM","8.2","0"
"Asistencia técnica agropecuaria Palmira","dataset","alcaldía de Palmira","Agricultura y Desarrollo Rural","Asistencia técnica agropecuaria, en la cual se describe uno a uno los productores y sus productos, describiendo en cada columna","published","Palmira","Alcaldía de Palmira","Territorial","Valle del Cauca","Anual","2023 Sep 12 07:47:00 PM","2023 Sep 14 04:45:00 PM","2023 Sep 14 04:45:00 PM","8.69","1"
"Base de Datos Sector de Construcción","dataset","creative commons","Comercio, Industria y Turismo","Esta sección comprende las actividades corrientes y especializadas de construcción de edificios y obras de ingeniería civil. En ella se incluyen las obras nuevas, reparaciones, ampliaciones y reformas, el levantamiento in situ de edificios y estructuras prefabricadas y también la construcción de obras de carácter temporal.","published","Arauca","Cámara de Comercio de Arauca","Territorial","Arauca","No aplica","2020 Nov 24 09:19:00 PM","2020 Nov 24 09:37:00 PM","2020 Nov 24 09:37:00 PM","8.42","0"
"Entidades Bancarias Guadalajara de Buga / Banking Institutions Guadalajara de Buga","dataset","Alcaldía Municipal de Guadalajara de Buga","Comercio, Industria y Turismo","Información básica de la entidades bancarias que tienen sucursal  en el municipio de Guadalajara de Buga / Basic information of the banking entities that have a branch in the municipality of Guadalajara de Buga","published","Guadalajara de Buga","Alcaldía de Guadalajara de Buga","Territorial","Valle del Cauca","Anual","2018 Mar 16 02:03:00 AM","2018 May 02 08:03:00 PM","2019 Sep 04 04:15:00 PM","8.13","0"
"Cobertura De Vacunación Por Monitoreo Rapido En El Departamento Del Valle Del Cauca","dataset","Secretaria de salud Gobernación del Valle del Cauca","Salud y Protección Social","Cobertura De Vacunación Por Monitoreo Rapido En El Departamento Del Valle Del Cauca","published","Cali","Gobernación de Valle del Cauca","Territorial","Valle del Cauca","Anual","2018 Mar 22 05:00:00 PM","2020 Jun 10 03:47:00 PM","2020 Jun 10 03:46:00 PM","8.57","0"
"Informacion centro de atencion integral a victimas - Auxilios Economicos - Serie 2 de 3","dataset","secretaria del interior","Inclusión Social y Reconciliación","Caracterización de la población beneficiaria de ayuda humanitaria por declaración como víctimas del conflicto armado,  incluye: núcleos de familia con sus cantidades de integrantes,  edad, grupo etario, curso de vida, sexo, LGTBI, gestante, cabeza de familia, discapacidad, adulto mayor, afrodescendiente, mestizo, indígena, Rrom, amenaza, desplazamiento, reclutamiento forzado, secuestro, homicidio, tortura, delitos contra libertad e integridad sexual, minas antipersonal, acto terrorista, despojo y abandono de bienes, vinculación de NNA grupos armados,  migrantes, venezolanos, orientación, atención psicológica, apoyo, articulación interinstitucional, auxilio económico; de enero 2017 a octubre 2023","published","Bucaramanga","Alcaldía de Bucaramanga","Territorial","Santander","No aplica","2020 Nov 10 06:03:00 PM","2023 Oct 24 04:13:00 PM","2023 Dec 16 05:55:00 AM","9.51","1"
"Internet Fijo Cuota por proveedor","dataset","Ministerio de Tecnologías de la Información y las Comunicaciones","Ciencia, Tecnología e Innovación","Número de suscriptores con acceso fijo a Internet por proveedor de redes y servicios según sus datos al último día de cada trimestre, Consolidado desde 2017-2T hasta el ultimo trimestre publicado. Basados en estos datos, se muestra el porcentaje de participación que tiene cada proveedor con respecto al total de suscriptores con acceso fijo a Internet en Colombia para cada trimestre. La tabla muestra en la última fila el total de suscriptores con acceso fijo a Internet en Colombia.","published","Bogotá D.C.","Ministerio de Tecnologías de La Información y Las Comunicaciones","Nacional","Bogotá D.C.","Trimestral","2018 May 27 03:41:00 PM","2020 Aug 09 08:43:00 PM","2024 Feb 23 09:23:00 PM","9.66","1"
"Informacion_clasificada_y_reservada_Notaría Única del Círculo de Montenegro Quindío","dataset","Notaría Única del Círculo de Montenegro Quindío","Función pública",,"published","Montenegro","Notaría Única del Círculo de Montenegro, Quindío","Territorial","Quindío","Anual","2022 Sep 22 07:50:00 PM","2022 Sep 22 07:55:00 PM","2022 Sep 22 07:55:00 PM","6.89","0"
"INFORME DE MATRICULA INICIAL EN EDUCACION POR GRADO 2024, CAMPO DE LA CRUZ - ATLANTICO","dataset","Oficina TIC","Educación","Alumnos matriculados en Campo de la Cruz, Atlántico","published","Campo de La Cruz","Alcaldía de Campo de La Cruz","Territorial","Atlántico","Anual","2024 May 29 02:40:00 PM","2024 Jan 08 08:02:00 PM","2024 Jan 08 08:02:00 PM","9.15","1"
"Índice de información clasificada y reservada Alcaldía de Puerres","dataset","Alcaldía de Puerres","Ordenamiento Territorial","Índice de información clasificada y reservada Alcaldía de Puerres","published","Puerres","Alcaldía de Puerres","Territorial","Nariño","Anual","2022 Oct 18 04:19:00 PM","2022 Oct 18 04:36:00 PM","2022 Oct 18 04:35:00 PM","7.81","0"
"Aspirantes Admitidos No Matriculados 2-2019","dataset",,"Educación","Reporte con datos de aspirantes admitidos pero que el proceso de matricula no continuaron. Corresponde al segundo semestre de 2019 en los programas de la UPTC","published","Tunja","Universidad Pedagógica y Tecnológica de Colombia","Nacional","Boyacá","Semestral","2020 Feb 13 10:23:00 PM","2020 Feb 13 10:28:00 PM","2020 Feb 13 10:28:00 PM","7.89","0"
"Accidentalidad Municipio Flandes Tolima 2016","dataset","Alcaldía Flandes Tolima","Transporte","En este conjunto de datos se denotará el numero de accidentes presentes en la jurisdicción del Municipio.","published","Flandes","Alcaldía de Flandes","Territorial","Tolima","Trimestral","2017 May 22 04:47:00 PM","2017 May 24 03:57:00 PM","2017 May 24 03:57:00 PM","7.7","0"
"Hospital Municipal De Manati - Atlántico","dataset","alcaldía municipal de Manatí","Salud y Protección Social","Hospital Municipal De Manati - Atlántico","published","Manatí","Alcaldía de Manatí","Territorial","Atlántico","Trienio","2018 Nov 14 04:46:00 PM","2018 Nov 14 04:48:00 PM","2018 Nov 14 04:46:00 PM","7.13","0"
"PROYECCION DE POBLACION 2020","dataset","Observatorio de Familia Calarcá","Salud y Protección Social",,"published","Calarcá","Alcaldía de Calarcá","Territorial","Quindío","No aplica","2021 Sep 11 04:47:00 PM","2021 Sep 11 06:15:00 PM","2021 Sep 11 06:15:00 PM","7.51","0"
"Explotación de Oro de Aluvión (EVOA) por Municipio","dataset",,"Minas y Energía","Clase de Figura de ley por municipioy Evidencia de Explotación de Oro de Aluvión (EVOA)","published","Bogotá D.C.","Ministerio de Minas y Energía","Nacional","Bogotá D.C.","Anual","2021 Nov 02 11:40:00 PM","2021 Nov 02 11:46:00 PM","2021 Nov 02 11:46:00 PM","8.71","0"
"Anexo 5. ET","dataset","Alcaldía Municipal de Anzoátegui","Transporte","información de empresas de transportes","published","Anzoátegui","Alcaldía de Anzoátegui","Territorial","Tolima","Quincenal","2016 Nov 23 04:58:00 PM","2016 Nov 23 05:01:00 PM","2016 Nov 23 04:58:00 PM","7.13","0"
"Docentes de planta por programa","dataset","Universidad del Quindío","Educación","Docentes de planta por programa académico varios periodos","published","Armenia","Universidad del Quindío","Territorial","Quindío","Semestral","2022 Sep 15 03:50:00 PM","2022 Sep 15 04:04:00 PM","2022 Sep 15 04:04:00 PM","9.03","1"
"Esquema de Publicación de la Información INS","dataset","Instituto Nacional de Salud","Ciencia, Tecnología e Innovación","Información de trasparencia norma","published","Bogotá D.C.","Instituto Nacional de Salud","Nacional","Bogotá D.C.","Anual","2021 Oct 21 09:13:00 PM","2021 Oct 21 09:18:00 PM","2021 Oct 21 09:18:00 PM","7.33","0"
"INFORME GESTION COMISARIA 2017","dataset","Alcaldía Municipal de subachoque- Comisaria de familia",,,"published","Subachoque","Alcaldía de Subachoque","Territorial","Cundinamarca","Anual","2018 Jan 22 05:20:00 PM","2018 Jan 22 08:01:00 PM","2018 Jan 22 05:20:00 PM","6.79","0"
"Graduados 2-2019","dataset",,"Educación","Información de los estudiantes graduados de la UPTC y que se presentaron durante el segundo semestre de 2019","published","Tunja","Universidad Pedagógica y Tecnológica de Colombia","Nacional","Boyacá","Semestral","2020 Feb 17 03:03:00 PM","2020 Feb 17 03:06:00 PM","2020 Feb 17 03:06:00 PM","7.8","0"
"MEN_DOCENTES_OFICIALES_EPBM","dataset","Ministerio de Educación Nacional","Educación","Contiene la base de docentes Oficiales de Educación Preescolar Básica y Media - EPBM en Colombia desde el año 2015.","published","Bogotá D.C.","Ministerio de Educación Nacional","Nacional","Bogotá D.C.","Anual","2021 Oct 09 04:51:00 PM","2021 Oct 09 05:14:00 PM","2023 Sep 28 09:28:00 PM","9.53","1"
